Timestamp (UTC),Bot ID,Wallet,Type,Mint (full),SOL Delta,Token Delta,Transaction Hash,Slot
2026-06-29T07:09:40.000Z,BOT-058,Fg6vsDhbb2XfLLFWdkneKkSEU2R2z4Wn9hEMhuC5v4Rj,BUY,AKr5cpCFfQpNA6pSVLxkUVkVfrEnVk9ht4kNsaGd7V1M,-0.004107,3.50,RVQRjGw4ZEUo5avQN4BAoHFb4aSHAMiAYVepQeoEPV6LTHjZauc3XPkzE4X5hndWoDSyP1wbZypdbWFE5EjbH1z,429618157
2026-06-29T07:05:45.000Z,BOT-391,98TKRKczXUyFHwQW5Yfcv8qwpybowhGLDnQ54VdMYUf4,BUY,AKr5cpCFfQpNA6pSVLxkUVkVfrEnVk9ht4kNsaGd7V1M,-0.008208,7.00,5warwptZa9RerfFtHvv1xJghpfdL7NEHAD3FCzSFGkiH8ECsYsxVhB3zuW252nTjLcnyyF4J17nknndaq36yubv6,429617572
2026-06-29T07:05:20.000Z,BOT-337,DtdeNmcFSmYXCamVvY9cMkLhVph2C2EASHAQ1TGJhk69,BUY,AKr5cpCFfQpNA6pSVLxkUVkVfrEnVk9ht4kNsaGd7V1M,-0.006181,3.50,5aoXqv1Kk6Ln8BYCZNsGRN8VW7QW5LzJ2hgjM6ZoNhThY9fqDAXZRNJxGjF56AfS9qgipP3E2CV8io2GXWctpEu,429617510
2026-06-29T07:04:43.000Z,BOT-391,98TKRKczXUyFHwQW5Yfcv8qwpybowhGLDnQ54VdMYUf4,BUY,AKr5cpCFfQpNA6pSVLxkUVkVfrEnVk9ht4kNsaGd7V1M,-0.010282,7.00,bLyj2eJ5gopPJrd6VXdsyWZPVhaHpgUYVSGsvUpUGtJET8nZmEUHSckVUQhANvzcYzpGv5zhhpPJgqJnXfsKzUo,429617419
2026-06-29T07:04:04.000Z,BOT-355,8A37euCaVXXJYw17Nc93Qpztyy4EVg495fRaabHM8BMV,BUY,AKr5cpCFfQpNA6pSVLxkUVkVfrEnVk9ht4kNsaGd7V1M,-0.018485,14.00,3PpXc6WGSwsHShHhgRRgRw3pwHmPsRDJjNibDuP4Jeq2PwMoigYha2W7SrEcEsArb8DyhXWxAkQjXGeyetXN3Ski,429617324
2026-06-29T06:56:44.000Z,BOT-231,ARth4Dmqyjg8KoUBEBsURDm1TGPZebvdpJNLBui6bHey,BUY,AKr5cpCFfQpNA6pSVLxkUVkVfrEnVk9ht4kNsaGd7V1M,-0.041921,34.00,3tvb6G4v4Xsd3ciYLQyo1hwf2SFMzNaCgjjyb8cvNxjx4EjVSadrnzCoetBWccSCyF8iYTx821cXnJzroYWXSSyq,429616234
2026-06-29T06:56:03.000Z,BOT-305,6dUn5HmYKbDTeP4CoQzkNpwHsSCXPj7ipQyjY67XaY2K,BUY,AKr5cpCFfQpNA6pSVLxkUVkVfrEnVk9ht4kNsaGd7V1M,-0.018485,14.00,4GDrX7SpnM8h95pJoTHRuMJYd8mkbS3itLk5RVVeZChkoneiRx54mosGyj5wobKKMZkJqEWB6UsbUbZZZZwDdsNP,429616136
2026-06-29T06:55:16.000Z,BOT-351,34u4eaZrVWfyNzawYqhRc7yVb1qZeCqisha1H92ua743,BUY,AKr5cpCFfQpNA6pSVLxkUVkVfrEnVk9ht4kNsaGd7V1M,-0.006181,3.50,3DAYTiV2BxqRgnDXmuc7H81BzT9ShTpFC7vdAbsHJicco9jXVdGa65yCiDmXVZ1LWPM2b3MwscQEYTh6Cg7LNEHY,429616016
2026-06-29T06:54:40.000Z,BOT-056,E5R47nGxoz9Cd5sGo6p4vcCBMsFB9D3YBFt5bN2xQhLc,BUY,AKr5cpCFfQpNA6pSVLxkUVkVfrEnVk9ht4kNsaGd7V1M,-0.004107,3.50,3kwvu17UDxiR5GdFrWnk5boEFanQRuY1XbcupjzkXgMEjcfKUVhc5J9RRa1s2G3SeRpMvUkxh7WLDgXNL74NpwDs,429615926
2026-06-29T06:54:38.000Z,BOT-047,Cv3Yc51hvewNDvjCMVzrAP7yZjowRaGwGUZpyjyziMA3,BUY,AKr5cpCFfQpNA6pSVLxkUVkVfrEnVk9ht4kNsaGd7V1M,-0.004107,3.50,4KFMM2dc5EuABBDTxiiaCMPaLdqxEdigP71xrGJAC3uVC1BjeqRgtZZ9BhTyp43zjQAkvYYvXLtDLxY2SnLTacSD,429615921
